timestamp,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw,offset_x,offset_y,offset_z,action,position_error,adjusted_ref_x,adjusted_ref_y,adjusted_ref_z,is_avoiding,offset_magnitude_xy
23.72,-0.009186137467622757,0.00713316397741437,-0.050780680030584335,0.007333722409718346,-0.007744568160323092,0.03704155860392094,-0.9992568075059364,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
23.82,-0.009782970882952213,0.00729640107601881,-0.05425431951880455,0.00731423072705301,-0.007710441149148474,0.037015385410995694,-0.9992581983519373,0.0,1.1999998771199998,0.29999996927999995,3,nan,nan,nan,nan,1,1.1999998771199998
23.92,-0.00920916348695755,0.008258498273789883,-0.05531999096274376,0.007322039233340773,-0.007685576340103959,0.03691305286281127,-0.9992621601556972,0.0,1.1999998771199998,0.29999996927999995,3,nan,nan,nan,nan,1,1.1999998771199998
24.02,-0.00925501249730587,0.009395604953169823,-0.05758247897028923,0.007306185134452616,-0.007609589821908846,0.03680743286044291,-0.9992667120153365,0.0,1.1999999754239998,0.29999999385599996,3,nan,nan,nan,nan,1,1.1999999754239998
24.12,-0.009918401017785072,0.010634154081344604,-0.06060803309082985,0.007271800251654335,-0.007609621071903701,0.036773926115876876,-0.9992681871550343,0.0,1.1999999754239998,0.29999999385599996,3,nan,nan,nan,nan,1,1.1999999754239998
24.22,-0.010825901292264462,0.011678209528326988,-0.0638820007443428,0.00732558773868349,-0.007581236280725471,0.036796306092436115,-0.9992672177775186,0.0,1.1999999950848,0.2999999987712,3,nan,nan,nan,nan,1,1.1999999950848
24.32,-0.010103638283908367,0.011432004161179066,-0.06559593230485916,0.007249161652319055,-0.007603232346416119,0.036739449993794915,-0.9992697044415808,0.0,1.1999999950848,0.2999999987712,3,nan,nan,nan,nan,1,1.1999999950848
24.42,-0.010259129106998444,0.011632847599685192,-0.0675441324710846,0.007225728827727634,-0.007587824215926719,0.036636569536579844,-0.9992737926858862,0.0,1.1999999990169599,0.29999999975423997,3,nan,nan,nan,nan,1,1.1999999990169599
24.52,-0.011010011658072472,0.012165120802819729,-0.0696231797337532,0.007242116409405803,-0.007571979274923127,0.03655813425150106,-0.9992766165247364,0.0,1.1999999990169599,0.29999999975423997,3,nan,nan,nan,nan,1,1.1999999990169599
24.62,-0.012213095091283321,0.012876741588115692,-0.07245031744241714,0.007218530514375307,-0.007526558925140146,0.03654852477004056,-0.9992774594617068,0.0,1.199999999803392,0.299999999950848,3,nan,nan,nan,nan,1,1.199999999803392
24.72,-0.01217845268547535,0.012206461280584335,-0.07321355491876602,0.0072243355018951115,-0.007561690381325563,0.03655033708452654,-0.9992770801400701,0.0,1.199999999803392,0.299999999950848,3,nan,nan,nan,nan,1,1.199999999803392
24.82,-0.012748471461236477,0.01179454755038023,-0.07486841827630997,0.007194122025226035,-0.007578073106237987,0.0365518965179214,-0.9992771222869186,0.0,1.1999999999606783,0.2999999999901696,3,nan,nan,nan,nan,1,1.1999999999606783
